"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Feb 03 12:21:18 GMT 2022","Thu Feb 03 12:21:20 GMT 2022","2600","Single","SingleTest","com.browserstack.DemoTest","com.browserstack.DemoTest","postToWebAppWall","postToWebAppWall",""
"failed","Thu Feb 03 12:21:33 GMT 2022","Thu Feb 03 12:22:14 GMT 2022","40806","Single","SingleTest","com.browserstack.DemoTest","com.browserstack.DemoTest","test1","test1",""
