"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Jan 26 15:05:40 GMT 2022","Wed Jan 26 15:05:40 GMT 2022","0","Single","SingleTest","com.browserstack.DemoTest","com.browserstack.DemoTest","tearDown","tearDown",""
"failed","Thu Jan 27 15:59:27 GMT 2022","Thu Jan 27 16:00:10 GMT 2022","42753","Single","SingleTest","com.browserstack.DemoTest","com.browserstack.DemoTest","postToWebAppWall","postToWebAppWall",""
