"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jan 29 00:44:21 GMT 2022","Sat Jan 29 00:44:28 GMT 2022","6106","Single","SingleTest","com.browserstack.DemoTest","com.browserstack.DemoTest","postToWebAppWall","postToWebAppWall",""
"failed","Sat Jan 29 00:44:37 GMT 2022","Sat Jan 29 00:45:20 GMT 2022","43517","Single","SingleTest","com.browserstack.DemoTest","com.browserstack.DemoTest","test1","test1",""
